generation,fitness,tag,class,name,id,href,alt,type,aria-label,xpath.chrome,xpath.idxpath,isButton,location,dimension,visible_text,neighbour_text,attributes
1,0.9996144949884348,1.35,1.85,0.35,2.90,1.90,1.55,1.5,2.15,0.95,1.0,0.85,2.25,1.85,2.35,0.95,0.85
2,0.9996144949884348,1.35,1.85,0.35,2.90,1.90,1.55,1.5,2.15,0.95,1.0,0.85,2.25,1.85,2.35,0.95,0.85
3,0.9996144949884348,1.35,1.85,0.35,2.90,1.90,1.55,1.5,2.15,0.95,1.0,0.85,2.25,1.85,2.35,0.95,0.85
4,0.9997108712413262,1.35,1.85,0.35,2.90,1.90,1.55,1.5,2.15,0.95,1.0,0.85,2.25,1.05,2.35,0.95,1.85
5,0.9997108712413262,1.35,1.85,0.35,2.90,1.90,1.55,1.5,2.15,0.95,1.0,0.85,2.25,1.05,2.35,0.95,1.85
6,0.9997108712413262,0.9,1.65,1.40,0.30,0.95,1.75,2.35,2.0,0.0,0.55,0.1,2.15,2.2,2.40,2.05,1.35
7,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
8,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
9,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
10,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
11,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
12,0.9998072474942175,0.2,0.35,0.35,2.90,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
13,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
14,0.9998072474942175,0.2,2.65,0.35,2.90,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
15,0.9998072474942175,0.2,1.85,0.35,2.90,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
16,0.9998072474942175,0.2,0.35,0.35,0.15,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
17,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
18,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
19,0.9998072474942175,0.8,1.1,0.35,2.90,1.90,1.55,1.0,1.85,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
20,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
21,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
22,0.9998072474942175,0.8,1.1,2.35,2.90,1.90,1.55,1.0,1.85,0.95,1.0,0.0,2.25,1.85,2.55,1.70,0.85
23,0.9998072474942175,0.2,0.35,0.35,2.90,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
24,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
25,0.9998072474942175,0.2,0.35,0.35,0.15,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
26,0.9998072474942175,0.2,0.35,0.35,2.90,1.90,1.55,1.25,2.15,0.95,1.0,0.0,2.6,1.85,2.55,1.95,0.85
27,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
28,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
29,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
30,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
31,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
32,0.9998072474942175,0.95,0.35,0.35,2.90,1.90,1.55,1.25,2.30,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.5
33,0.9998072474942175,0.8,1.75,2.45,2.90,1.90,1.55,1.25,2.1,0.60,1.0,0.0,2.6,1.85,2.55,1.75,0.85
34,0.9998072474942175,0.85,1.40,0.35,2.90,1.90,1.55,1.25,2.1,0.95,0.4,0.0,1.65,1.85,2.55,1.75,0.85
35,0.9998072474942175,0.8,1.75,2.45,2.90,1.90,1.55,1.25,2.1,0.60,1.0,0.0,2.6,1.85,2.55,1.75,0.85
36,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
37,0.9998072474942175,0.8,1.05,0.35,2.90,1.90,1.55,1.25,2.1,0.4,1.0,0.0,2.6,1.85,2.55,1.75,0.85
38,0.9998072474942175,0.35,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,1.0,0.0,2.6,1.85,2.55,1.75,0.85
39,0.9998072474942175,0.8,0.35,1.40,2.90,1.90,1.3,1.25,2.1,2.75,1.0,0.0,2.6,1.85,2.55,1.75,0.85
40,0.9998072474942175,0.8,0.35,0.35,2.90,1.90,1.55,1.25,2.1,0.95,0.70,0.0,2.40,1.85,2.55,1.95,0.85
41,0.9998072474942175,0.35,0.35,0.35,2.90,1.5,1.55,1.25,1.6,0.85,1.0,0.0,2.6,1.20,2.55,0.45,1.90
